60,Yes,Yes,,Software Testing,Project Management,,,5,Good,Indonesia,1,,Sometimes,Sometimes,All the time,All the time,Sometimes,Sometimes,1,,,,5,3,,At least 50%,,1 - 100 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Agree,Strongly Agree,Strongly Agree,,,
61,Yes,No,Software Development,,,,,6,Good,China,2,,All the time,Rarely,All the time,Sometimes,Never,Rarely,,,3,4,,2,,At least 50%,,1 - 100 Lines of Code,,&lt; 30 minutes,,Yes,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
62,Yes,No,Software Development,,Project Management,,,6,Mediocre,,2,,Sometimes,Sometimes,Sometimes,All the time,All the time,Rarely,,,3,4,,,,At least 90%,,1 - 100 Lines of Code,,&lt; 30 minutes,,Yes,,Agree,Agree,Neutral,Agree,,,
63,No,No,Software Development,,,,,4.8,Good,Australia,2,,Sometimes,Sometimes,Sometimes,Sometimes,All the time,All the time,1,,,,5,3,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Disagree,Strongly Agree,Disagree,,,
1,Yes,No,Software Development,,,Other,Data Scientist,2,Very Good,United States,2,,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,All the time,,2,,,,3,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Strongly Agree,Neutral,,,
2,Yes,Yes,Software Development,,,,,10,Very Good,United States,1,,Rarely,Sometimes,Sometimes,Rarely,Sometimes,All the time,1,2,3,,5,2,,At least 90%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Disagree,Agree,Agree,Without a reason why would I believe a tool with less than 100% accuracy?,,
3,Yes,No,Software Development,,,,,5,Very Good,United States,1,,Never,Sometimes,All the time,All the time,All the time,All the time,,,,,5,2,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
4,Yes,Yes,Software Development,,,,,10,Very Good,United States,1,,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,4,,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Strongly Agree,Agree,,,
5,Yes,No,,,,Other,Algorithm research and software development,12 years,Good,United States,1,,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,3,,5,6,TOP 3,At least 75%,,"1 - 10,000 Lines of Code",,Other,,Yes,,Neutral,Agree,Neutral,Agree,,,"For my perspective, the precision of automated debugging tools is more important than its recall. I mean, it could give “unknown” result if the results’ confidence is not high enough. But if it gives buggy location suggestions, I wish the results are reliable. Otherwise, the misleading suggestions would cause additional efforts of investigation, which prevents engineers from using it again.   "
6,Yes,Yes,Software Development,,,,,8,Mediocre,United States,2,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,4,,2,,At least 50%,,"1 - 10,000 Lines of Code",,Within a fraction of a second,,Yes,,Agree,Agree,Agree,Agree,,,
7,Yes,Yes,Software Development,,,,,7,Good,United States,1,,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,,,3,4,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Neutral,Agree,,,"1. Beside ""efficient, scalable, and trustworthy"", another important factor I think is its usability -- it should be easy to use. I don't mind if it is integrated into IDE, as I am just using vi.   2. To me, the most headache bugs are concurrency bugs (data races, memory reordering, etc). There are many research works on replaying and debugging concurrency bugs, although it is still challenging. It would be nice if an automatic tool can help on this. "
8,Yes,Yes,Software Development,,,,,0.5,Very Good,United States,2,,Never,All the time,All the time,Sometimes,Sometimes,Sometimes,1,2,3,4,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Agree,Strongly Agree,,,
1,Yes,Yes,Software Development,Software Testing,,,,5,非常好,China,2,,总是,总是,总是,总是,总是,总是,1,2,3,4,5,1,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,强烈不同意,不同意,中立,强烈同意,ccc,,
2,Yes,No,Software Development,,,,,7,好的,China,2,,从不，几乎没有,有时,总是,有时,有时,总是,,,3,4,,3,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,中立,同意,同意,同意,,,
3,Yes,Yes,,,Project Management,,,11,好的,China,2,,很少,总是,总是,总是,很少,总是,,2,3,4,,2,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 1 hour,,会,,强烈同意,同意,同意,同意,,,
4,Yes,No,Software Development,,,,,1.3,中等,China,2,,有时,有时,总是,总是,总是,总是,,2,3,4,5,3,,At least 75%,,"1 - 100,000 Lines of Code",,Other,,会,,同意,不同意,中立,中立,"如果只是简单标记出可疑位置，那开发人员还是需要花费比较多的时间去查找可疑原因后再去修复，那自动化debug工具的优势就不明显了。 这点很类似于findbugs, checkstyle等代码扫描工具，除了标记出某个类中的某行代码有问题，还会给出问题描述（以及修改意见），否则仅仅是扫描而已。  自动化debugging工具肯定是有一些规则处理才能得到可疑位置，这些规则应该就是标注为可疑的原因了。",,
5,Yes,No,,,Project Management,,,6,好的,China,2,,有时,有时,有时,有时,有时,有时,,,,4,,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,同意,同意,同意,同意,,,
6,No,Yes,Software Development,,,,,1,中等,China,2,,从不，几乎没有,总是,有时,有时,有时,有时,,,,4,,3,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,同意,同意,中立,同意,,,
7,Yes,Yes,,Software Testing,,,,2.5,好的,China,1,,从不，几乎没有,有时,有时,有时,有时,有时,,2,3,4,5,3,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 30 minutes,,会,,同意,同意,强烈同意,同意,,,
8,Yes,No,Software Development,,Project Management,,,5,非常好,China,1,,从不，几乎没有,很少,有时,很少,总是,总是,,2,3,,,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,同意,中立,同意,中立,,,
9,No,No,,Software Testing,,,,0.12,中等,China,2,,有时,有时,总是,总是,有时,总是,,2,,,,3,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 hour,,会,,同意,不同意,中立,同意,,,
10,Yes,No,Software Development,,,,,2,好的,China,2,,有时,总是,有时,有时,有时,总是,,,,4,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,同意,中立,强烈同意,中立,,,
11,Yes,No,Software Development,,,,,2,中等,China,2,,从不，几乎没有,有时,有时,有时,有时,有时,,,,,5,2,,At least 50%,,1 - 100 Lines of Code （代码行）,,&lt; 30 minutes,,会,,同意,中立,中立,同意,,,
12,No,No,,Software Testing,,,,4.5,中等,China,1,,总是,总是,总是,总是,总是,总是,1,,,,,3,,At least 50%,,Other,不清楚,&lt; 1 hour,,会,,强烈同意,不同意,同意,中立,缩小关注的范围，提高效率,,
13,No,No,,Software Testing,,,,实习,差,China,2,,有时,有时,有时,有时,有时,有时,,2,3,4,5,2,,At least 50%,,1 - 100 Lines of Code （代码行）,,&lt; 1 minute,,会,,强烈同意,同意,同意,中立,,,
14,Yes,No,,Software Testing,,,,1,中等,China,2,,有时,很少,有时,有时,有时,很少,,,3,,,2,,At least 5%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,强烈同意,不同意,同意,不同意,利于我下一步避免此问题再次发生,个人习惯，否则感觉不方便。,
15,Yes,No,Software Development,,,,,2.5,中等,China,2,,总是,总是,总是,总是,有时,有时,,,3,4,,3,,Other,80,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,同意,强烈同意,中立,,,
16,Yes,No,Software Development,,,,,0,中等,China,2,,总是,有时,总是,总是,有时,有时,,,,4,,2,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,会,,同意,中立,强烈同意,不同意,,因为IDE的使用很广泛，如果将工具集成进去，作用更大。,
17,No,Yes,Software Development,,,,,0.5,差,China,2,,从不，几乎没有,从不，几乎没有,从不，几乎没有,从不，几乎没有,从不，几乎没有,从不，几乎没有,,,,,,2,,At least 50%,,1 - 100 Lines of Code （代码行）,,&lt; 1 minute,,会,,中立,中立,中立,中立,,,
18,Yes,No,Software Development,,,,,1,中等,China,1,,很少,总是,有时,有时,有时,很少,,,,,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,同意,强烈同意,中立,,,
19,No,No,Software Development,,,,,1,中等,China,2,,很少,总是,有时,有时,很少,总是,,,3,,,2,,At least 90%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,强烈同意,,,,,,
20,Yes,Yes,Software Development,,,,,0.5,差,China,2,,从不，几乎没有,很少,有时,总是,有时,有时,1,2,3,4,5,2,,,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,,,,,,,
21,Yes,No,Software Development,,,,,1.5,中等,China,2,,从不，几乎没有,有时,总是,有时,有时,有时,,,,4,5,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,不同意,同意,中立,,,
22,Yes,Yes,,Software Testing,,,,0.5,中等,China,1,,总是,很少,总是,总是,总是,总是,,2,3,,,2,,At least 75%,,1 - 1000 Lines of Code,,Other,5,会,,强烈同意,中立,强烈同意,中立,,,
23,No,No,,Software Testing,,,,0.5,中等,China,2,,有时,总是,总是,总是,有时,总是,,2,,4,,2,,At least 50%,,1 - 1000 Lines of Code,,&lt; a day,,会,,中立,不同意,同意,同意,,,
24,Yes,No,Software Development,,,,,2,中等,China,2,,从不，几乎没有,总是,总是,总是,总是,总是,,,,,,1,,At least 50%,,"1 - 100,000 Lines of Code",,Within a fraction of a second,,会,,中立,同意,不同意,同意,,,
25,No,No,,Software Testing,,其他,自动化测试,1年,中等,China,2,,有时,有时,有时,有时,有时,有时,1,2,3,,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,同意,强烈同意,强烈同意,,,
26,No,No,,Software Testing,,,,0.5,中等,China,2,,有时,有时,有时,有时,有时,有时,1,2,3,,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,强烈同意,中立,同意,中立,,,
27,Yes,No,Software Development,,,,,1,差,China,,,有时,总是,有时,有时,总是,总是,,,3,,5,2,,At least 20%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,强烈同意,强烈同意,同意,同意,,,
28,No,No,,Software Testing,,,,0.5,中等,China,2,,总是,总是,总是,总是,总是,总是,1,,3,,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,同意,中立,同意,同意,,,
29,Yes,No,Software Development,Software Testing,,,,1,中等,China,2,,有时,有时,总是,有时,有时,很少,,,3,,5,3,,At least 75%,,"1 - 100,000 Lines of Code",,Other,10 minutes,会,,同意,中立,同意,中立,,,
30,Yes,No,Software Development,,,,,1.7,中等,China,1,,总是,总是,总是,总是,有时,总是,1,,3,4,5,2,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,会,,同意,同意,同意,同意,,,
31,Yes,Yes,Software Development,,,,,1.3,中等,China,2,,很少,有时,很少,很少,有时,有时,,,,,5,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,同意,同意,同意,中立,,,
32,Yes,No,Software Development,,,,,1,中等,China,1,,总是,总是,很少,有时,很少,总是,,,3,,,2,,At least 20%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,强烈同意,同意,中立,同意,,,
33,Yes,No,Software Development,,,,,1,中等,China,2,,总是,总是,总是,有时,有时,总是,,,3,,,2,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,同意,同意,同意,中立,,,
34,Yes,Yes,Software Development,,,,,9,中等,China,1,,从不，几乎没有,总是,总是,总是,总是,总是,1,2,3,4,5,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,强烈同意,强烈同意,强烈同意,强烈同意,,,
35,Yes,No,Software Development,,,,,3,中等,China,2,,有时,有时,总是,总是,很少,总是,1,2,3,4,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,中立,中立,中立,同意,,,
36,Yes,No,Software Development,,,,,1.5,差,China,3,他都已经要输入错误才能查找，既然我们已经知道错误在哪了，何必要在用这个工具，来查找一遍呢,,总是,,,,,,2,,,5,2,,At least 20%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,同意,中立,不同意,同意,,,
37,Yes,Yes,Software Development,,,,,0.8,中等,China,1,,有时,总是,总是,总是,有时,总是,,,3,,5,3,,At least 75%,,"1 - 1000,000 Lines of Code",,&lt; 30 minutes,,会,,中立,强烈同意,中立,同意,,,
38,Yes,No,Software Development,,,,,9,中等,China,2,,很少,很少,很少,很少,很少,很少,,,,,5,2,,At least 90%,,"1 - 100,000 Lines of Code",,Other,< 10 minuts,会,,强烈同意,不同意,中立,同意,自动debugging没法绝对智能精准识别出问题，但是只要可以给出候选的可疑范围，帮助开发人员圈定问题领域，会加快解决问题的速度。,,
39,Yes,No,Software Development,,,,,2,差,China,2,,从不，几乎没有,很少,从不，几乎没有,从不，几乎没有,很少,有时,,,3,4,,2,,At least 50%,,1 - 100 Lines of Code （代码行）,,&lt; 1 minute,,会,,强烈同意,中立,中立,中立,,,
40,No,Yes,Software Development,,,,,0.1,非常差,China,2,,很少,很少,很少,很少,很少,很少,,,,4,5,2,,At least 50%,,1 - 100 Lines of Code （代码行）,,&lt; 1 minute,,会,,中立,中立,中立,中立,,,
41,Yes,No,Software Development,,Project Management,,,10,中等,China,2,,很少,有时,总是,总是,总是,总是,,,,4,5,3,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,强烈同意,同意,中立,同意,,,
42,No,No,,Software Testing,,,,2.1,中等,China,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Yes,No,Software Development,,,,,2,中等,China,2,,很少,从不，几乎没有,有时,有时,有时,从不，几乎没有,,2,3,,5,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,中立,强烈同意,不同意,,,
44,Yes,No,Software Development,,,,,4,差,China,2,,很少,很少,总是,总是,有时,总是,,,,,5,2,,At least 50%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,强烈同意,中立,强烈同意,不同意,,我家客厅的电视机需要2个遥控器，所以我很少去看,
45,No,No,Software Development,,,,,1,中等,China,2,,很少,总是,有时,有时,有时,总是,,,,,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,强烈同意,不同意,中立,中立,不说很精确的提示，有基本的提示也可以节省很多去排除问题的时间，这样更有利于节省开发成本的时间的利用率,,
46,Yes,No,Software Development,,,,,0.5,好的,China,2,,总是,总是,总是,总是,很少,很少,,,3,,,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,同意,强烈不同意,强烈同意,中立,我不管，就是很重要,,
47,Yes,Yes,Software Development,,,,,1,差,China,2,,很少,很少,有时,有时,很少,很少,,,,4,,3,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,同意,中立,中立,中立,,,
48,Yes,No,Software Development,,,,,7,好的,China,2,,很少,有时,总是,有时,总是,有时,1,2,3,4,5,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,中立,同意,同意,同意,,,
49,Yes,No,,Software Testing,,,,2.1,中等,China,2,,有时,有时,总是,总是,有时,总是,,,,,5,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,同意,中立,同意,同意,,,
50,Yes,No,Software Development,,,,,2.5,中等,China,1,,有时,有时,总是,有时,总是,很少,,,3,,,,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,中立,同意,同意,中立,,,
51,Yes,No,Software Development,,,,,1.5,中等,China,2,,很少,从不，几乎没有,有时,很少,有时,总是,,,,,5,2,,At least 50%,,,,,,会,,强烈同意,强烈不同意,强烈同意,中立,,,
52,No,No,,Software Testing,,,,0.5,中等,China,2,,有时,有时,有时,有时,有时,总是,,,,4,5,2,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,同意,同意,同意,同意,,,
54,No,No,Software Development,,,,,1年,中等,China,2,,从不，几乎没有,从不，几乎没有,从不，几乎没有,从不，几乎没有,从不，几乎没有,从不，几乎没有,,2,,,,2,,At least 20%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,同意,不同意,同意,同意,这样在工具检查的同时也可以进行自检，双重检查之后，方便改正。,,
55,No,Yes,Software Development,Software Testing,,,,0.5,中等,China,1,,有时,很少,总是,总是,从不，几乎没有,有时,,,,,5,2,,At least 50%,,1 - 1000 Lines of Code,,Within a fraction of a second,,会,,强烈同意,不同意,中立,同意,,,
56,No,No,,Software Testing,,,,0.5,中等,China,2,,总是,总是,有时,总是,总是,有时,,,,4,,2,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,同意,中立,强烈同意,,,
57,Yes,No,Software Development,,,,,2.5,差,China,2,,有时,总是,有时,有时,很少,有时,,,,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,中立,同意,同意,中立,,,
58,Yes,No,Software Development,,,,,5,中等,China,2,,从不，几乎没有,有时,总是,有时,总是,有时,,2,3,4,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,同意,中立,中立,同意,,,
59,Yes,No,Software Development,,,,,5,好的,China,1,,从不，几乎没有,有时,总是,有时,总是,很少,,,,4,,2,,At least 50%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,强烈同意,中立,中立,同意,,,
60,No,No,Software Development,,,,,0.5,中等,China,1,,总是,总是,总是,总是,总是,总是,,2,,,,2,,At least 50%,,1 - 100 Lines of Code （代码行）,,&lt; 1 minute,,会,,同意,同意,同意,同意,,,
61,Yes,No,Software Development,,,,,1,中等,China,2,,总是,总是,总是,总是,总是,总是,,,,4,,3,,At least 75%,,"1 - 10,000 Lines of Code",,Other,< 5 minutes,会,,强烈同意,不同意,中立,同意,可以减少日后Bug的出现,,
62,Yes,No,Software Development,,,,,1,中等,China,1,,,,,总是,,总是,,,3,,,3,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,同意,不同意,同意,不同意,,,
63,Yes,Yes,,,,,,0.5,中等,China,1,,有时,总是,很少,很少,很少,有时,,,,4,,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,强烈同意,同意,强烈同意,中立,,,
64,No,Yes,Software Development,,,,,2,中等,China,1,,从不，几乎没有,有时,有时,很少,从不，几乎没有,从不，几乎没有,,,3,,,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,强烈不同意,强烈同意,强烈不同意,至少它不能干扰我debug  为了让我相信  一定要告诉我  它认为是bug的理由,方便,
66,Yes,No,Software Development,Software Testing,,,,0.5,中等,China,1,,很少,从不，几乎没有,总是,总是,很少,有时,,,,4,5,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,强烈同意,不同意,同意,不同意,就像程序运行完报的错一样，要告诉我什么地方什么原因出错了,感觉开发和Debug在统一环境会效率更高，而不需要总是切换工作环境,
67,Yes,,Software Development,,,,,0.42,好的,China,1,,总是,总是,有时,有时,有时,很少,,,,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,中立,同意,中立,,,
68,Yes,No,,Software Testing,,,,10,好的,China,2,,很少,有时,有时,总是,有时,总是,,,3,,5,2,,At least 20%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,强烈同意,中立,同意,中立,,,
69,No,No,,Software Testing,,,,0.5,差,China,2,,总是,有时,总是,总是,总是,总是,1,,,,,2,,,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,同意,中立,强烈同意,中立,,,
70,Yes,No,Software Development,,,,,2,好的,China,2,,从不，几乎没有,很少,有时,有时,很少,总是,,,,,5,2,,At least 90%,,"1 - 100,000 Lines of Code",,Other,< 5 minutes,会,,强烈同意,中立,中立,同意,,,
71,Yes,No,Software Development,,,,,1.1,中等,China,2,,很少,有时,总是,总是,有时,总是,,,3,,,2,,At least 20%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,强烈同意,中立,同意,中立,,,
72,Yes,Yes,Software Development,Software Testing,,,,1,非常好,China,2,,有时,有时,有时,有时,有时,有时,,,3,,,,,,,,,,,,,,,,,,,
73,Yes,No,,Software Testing,,,,0.5,好的,China,1,,有时,有时,总是,总是,有时,总是,,,3,,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,同意,不同意,同意,中立,,,
74,No,No,,Software Testing,,,,9,中等,China,2,,很少,有时,总是,总是,总是,有时,,2,3,4,,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,同意,同意,同意,同意,,,
75,Yes,No,Software Development,,Project Management,,,12,好的,China,2,,从不，几乎没有,总是,有时,有时,有时,总是,,2,3,4,5,2,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,同意,不同意,中立,同意,,,
76,Yes,No,Software Development,,,,,2.5,差,China,2,,总是,有时,有时,总是,总是,有时,,,3,4,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,同意,同意,同意,同意,,,
77,Yes,No,Software Development,,,,,2,中等,China,1,,很少,很少,总是,总是,很少,很少,,,3,,,2,,At least 75%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,会,,中立,同意,强烈同意,不同意,,,
78,Yes,Yes,Software Development,,Project Management,,,12,中等,China,1,,很少,总是,总是,总是,总是,总是,,,3,4,,2,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,同意,强烈同意,同意,,,
80,Yes,Yes,Software Development,,,,,4.5,好的,China,1,,有时,很少,有时,有时,很少,有时,,,3,4,5,2,,At least 5%,,1 - 100 Lines of Code （代码行）,,&lt; 1 minute,,会,,强烈同意,强烈同意,强烈同意,同意,,,
81,No,No,Software Development,,,,,2,好的,Chile,2,,很少,总是,总是,总是,总是,总是,,,,,5,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,中立,同意,同意,同意,,,
82,No,No,,Software Testing,,,,0.33,中等,China,1,,总是,总是,总是,总是,总是,总是,,,,,5,1,,At least 75%,,1 - 100 Lines of Code （代码行）,,&lt; 30 minutes,,会,,同意,不同意,同意,中立,它给你确立了一个解决问题的方向，可以提高解决问题的效率。,,
83,No,Yes,,Software Testing,,,,2.5,中等,China,2,,有时,总是,有时,有时,有时,总是,,,,4,,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,同意,中立,强烈同意,中立,,,
84,Yes,No,,Software Testing,,,,2,中等,China,2,,有时,总是,总是,有时,总是,总是,,,3,,,3,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,同意,同意,强烈同意,中立,,,
85,Yes,No,Software Development,,Project Management,,,4,好的,China,1,,从不，几乎没有,有时,很少,很少,从不，几乎没有,很少,,,3,4,5,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,同意,同意,强烈同意,同意,,,
86,Yes,No,Software Development,,,,,8,中等,China,1,,从不，几乎没有,很少,有时,有时,有时,有时,1,2,3,4,5,2,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,会,,强烈同意,中立,强烈同意,中立,,,
87,Yes,No,,Software Testing,,,,0.6,中等,China,1,,很少,很少,总是,总是,很少,总是,1,,3,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,同意,强烈同意,强烈同意,同意,,,
88,Yes,No,Software Development,,,,,7,中等,China,2,,从不，几乎没有,从不，几乎没有,总是,总是,很少,总是,1,,,,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,会,,同意,同意,中立,同意,,,
89,Yes,No,Software Development,,,,,5,中等,China,2,,很少,很少,总是,总是,总是,很少,,,3,4,5,2,,At least 50%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,中立,同意,同意,中立,,,
90,No,No,,Software Testing,Project Management,,,4,中等,China,1,,很少,有时,总是,总是,总是,总是,,2,3,,5,1,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,会,,同意,中立,强烈同意,同意,,,
91,Yes,No,,Software Testing,,,,5,差,China,2,,很少,有时,总是,总是,总是,总是,,,3,,,2,,At least 50%,,,,&lt; 30 minutes,,会,,同意,中立,强烈同意,中立,,,
92,No,No,,Software Testing,,,,,中等,China,2,,总是,总是,总是,总是,总是,总是,,,,4,,5,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,同意,同意,同意,同意,,,
93,No,No,Software Development,,,,,1,非常好,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Yes,Yes,,Software Testing,,,,2.5,中等,China,2,,很少,总是,总是,总是,很少,很少,,,,4,5,2,,At least 75%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,会,,不同意,强烈同意,不同意,同意,,,
95,Yes,No,Software Development,,,,,4.5,好的,China,2,,有时,很少,总是,总是,总是,有时,,,3,,5,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,同意,中立,中立,同意,,,
96,Yes,No,Software Development,,,,,1,中等,China,1,,很少,很少,有时,很少,有时,很少,,,,,,2,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,会,,中立,中立,中立,中立,,,
97,Yes,No,,Software Testing,,,,2,中等,China,1,,很少,很少,有时,很少,很少,有时,,2,3,4,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,同意,中立,同意,同意,,,
98,Yes,No,Software Development,,,,,2.5,差,China,2,,从不，几乎没有,很少,从不，几乎没有,很少,很少,有时,,,,,5,1,,,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,会,,同意,中立,强烈同意,中立,,,
99,Yes,No,,Software Testing,,,,0.5,中等,China,2,,有时,很少,总是,有时,有时,总是,,,,4,,3,,At least 50%,,1 - 1000 Lines of Code,,&lt; 1 minute,,会,,强烈同意,同意,同意,同意,,,
100,No,No,,Software Testing,,,,0.5,中等,China,1,,从不，几乎没有,总是,总是,总是,总是,总是,,,,4,,2,,At least 90%,,1 - 1000 Lines of Code,,&lt; 30 minutes,,会,,强烈同意,中立,同意,中立,,,
